Payments to suppliers over £500 - April 2020,,,,,,,,,
,,,,,,,,,
Body Name,Service Label,Cost Centre,Expenditure Category,Nominal,NominalDesc,Accounting Date,System Reference,Line Amount SUM,Vendor Name
Norwich City Council,Cemeteries,130000,General Repairs & Mtce,2103,General Repairs & Mtce        ,02/04/2020,7575,760,NORWICH NORSE (ENVIRONMENTAL) LTD       
Norwich City Council,Cemeteries,130000,General Repairs & Mtce,2103,General Repairs & Mtce        ,02/04/2020,7575,900,NORWICH NORSE (ENVIRONMENTAL) LTD       
Norwich City Council,HRA Repairs,730020,General Repairs,2138,General Repairs               ,02/04/2020,7567,"1,768.94",NORWICH NORSE (ENVIRONMENTAL) LTD       
Norwich City Council,HRA Repairs,730020,General Repairs,2138,General Repairs               ,02/04/2020,8181,"2,435.31",NORWICH NORSE (ENVIRONMENTAL) LTD       
Norwich City Council,Street Cleansing,431020,Other Contractual Services,2849,Other Contractual Services    ,02/04/2020,4747,"3,480.40",NORWICH NORSE (ENVIRONMENTAL) LTD       
Norwich City Council,HRA Capital Expenditure,983000,Tower Block Regeneration,5182, Tower Block Regeneration     ,02/04/2020,9716,687.15,NPS NORWICH LTD                         
Norwich City Council,Investment Properties,220000,Site Security,2804,Site Security                 ,02/04/2020,9709,"1,000.00",NPS NORWICH LTD                         
Norwich City Council,Investment Properties,220000,Site Security,2804,Site Security                 ,02/04/2020,9828,"1,000.00",NPS NORWICH LTD                         
Norwich City Council,HRA Capital Expenditure,983000,Heating & Boilers - Communal,5130, Heating/Boilers Communal     ,02/04/2020,9715,"1,089.91",NPS NORWICH LTD                         
Norwich City Council,HRA Capital Expenditure,983000,Tower Block Regeneration,5182, Tower Block Regeneration     ,02/04/2020,9716,"1,374.29",NPS NORWICH LTD                         
Norwich City Council,HRA Repairs - Void Properties,730080,Energy Performance Certs,2140,Energy Performance Certs      ,02/04/2020,9717,"1,725.00",NPS NORWICH LTD                         
Norwich City Council,HRA Capital Expenditure,983000,Tower Block Regeneration,5182, Tower Block Regeneration     ,02/04/2020,9711,"2,673.00",NPS NORWICH LTD                         
Norwich City Council,HRA Repairs,730020,Major & Minor Repairs,2142,Major & Minor Repairs         ,02/04/2020,9720,"4,000.00",NPS NORWICH LTD                         
Norwich City Council,HRA Repairs,730020,Asbestos Register Survey,2166,Asbestos Register Survey      ,02/04/2020,9718,"10,500.00",NPS NORWICH LTD                         
Norwich City Council,NPS Joint Venture,640210,Professional Advice/Fees,2850,Professional Advice/Fees      ,02/04/2020,8688,"248,331.17",NPS NORWICH LTD                         
Norwich City Council, IT Services,321020,Shared Services LGSS External,3061,Shared Services LGSS External ,02/04/2020,9041,"8,357.60",PHOENIX SOFTWARE LTD                    
Norwich City Council, IT Services,321020,Shared Services LGSS External,3061,Shared Services LGSS External ,02/04/2020,9041,"10,266.60",PHOENIX SOFTWARE LTD                    
Norwich City Council,Open Spaces,160000,General Repairs & Mtce,2103,General Repairs & Mtce        ,02/04/2020,8790,"6,230.50",PLAYDALE PLAYGROUNDS LTD                
Norwich City Council,Private Sector Leasing Scheme,410040,General Repairs & Mtce,2103,General Repairs & Mtce        ,02/04/2020,8984,517.43,REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Customer Contact Team,550010,Agency Staff,2050,Agency Staff                  ,02/04/2020,9042,593.11,REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Private Sector Leasing Scheme,410040,General Repairs & Mtce,2103,General Repairs & Mtce        ,02/04/2020,8985,982.57,REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Conservation Design&Landscape,620050,Agency Staff,2050,Agency Staff                  ,02/04/2020,8620,"1,491.00",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Private Sector Leasing Scheme,410040,General Repairs & Mtce,2103,General Repairs & Mtce        ,02/04/2020,8963,"1,540.03",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Head of City Development,600070,Agency Staff,2050,Agency Staff                  ,02/04/2020,8961,"1,646.40",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Conservation Design&Landscape,620050,Agency Staff,2050,Agency Staff                  ,02/04/2020,8619,"1,659.00",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Fit for the Future,321070,Agency Staff,2050,Agency Staff                  ,02/04/2020,8694,"1,815.00",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,GF Capital Expenditure,981000,Exp on Grants,5500,Exp on Grants                 ,02/04/2020,9744,"2,275.00",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,GF Capital Expenditure,981000,Exp on Grants,5500,Exp on Grants                 ,02/04/2020,9744,"2,275.00",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,GF Capital Expenditure,981000,Exp on Grants,5500,Exp on Grants                 ,02/04/2020,9645,"2,470.00",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,GF Capital Expenditure,981000,Exp on Grants,5500,Exp on Grants                 ,02/04/2020,9645,"2,470.00",REDACTED COMMERCIAL CONFIDENTIALITY
